ticker,cor_dod,cor_price
KRW-BTC,0.6458968050255814,0.8927997017547745
KRW-ETH,0.6510505764603632,0.928260163262945
KRW-NEO,0.7072186529318526,0.9790848773376333
KRW-MTL,0.4886805714430866,0.8594150575870334
KRW-XRP,0.5193862166133001,0.8293621225550729
KRW-ETC,0.6186375714834287,0.7872223199195875
KRW-SNT,0.7259817310820159,0.9676545367695358
KRW-WAVES,0.5656195877308484,0.7849000077032614
KRW-XEM,0.7728865600921888,0.9872835913008943
KRW-QTUM,0.7475660023816412,0.9848225666914031
KRW-LSK,0.7818349817819978,0.9870200221367674
KRW-STEEM,0.710900600053082,0.9467889206899701
KRW-XLM,0.6865502015356606,0.9530211957265236
KRW-ARDR,0.7728155839904305,0.9766742720018852
KRW-ARK,0.5902997461209348,0.9819091020206845
KRW-STORJ,0.6783444820183232,0.9481883469876559
KRW-GRS,0.6713090899478191,0.9108264187929329
KRW-ADA,0.7704840892260078,0.9864955001202794
KRW-SBD,0.5408478469983674,0.9686321858344074
KRW-POWR,0.4319911326065645,0.8340966778183836
KRW-BTG,0.6051208565087426,0.957831759749402
KRW-ICX,0.7915589355232729,0.9810007316960314
KRW-EOS,0.5914665804926659,0.9784514259079741
KRW-TRX,0.4747158916112127,0.3186677332366615
KRW-SC,0.7835556731548493,0.9831894630850408
KRW-ONT,0.7955327228658218,0.9912967851346745
KRW-ZIL,0.6743422519821446,0.7781926835803981
KRW-POLYX,0.6814447391419062,0.9622339328450962
KRW-ZRX,0.7579200481330539,0.9692252717751325
KRW-LOOM,0.4776703150326925,0.7567589431994737
KRW-BCH,0.5442621146670906,0.9030299202761114
KRW-BAT,0.7051758056049421,0.9418056462193813
KRW-IOST,0.8348259356666932,0.9683376399643246
KRW-CVC,0.7535023423832252,0.9742177019706987
KRW-IQ,0.45354347946606227,0.9564826422276872
KRW-IOTA,0.8403476971542116,0.9727351404959022
KRW-HIFI,0.512915767147585,0.8497915661877151
KRW-ONG,0.7684539479890139,0.9678408968797498
KRW-GAS,0.7088708248404786,0.9721920715508954
KRW-UPP,0.7324113733482154,0.9728768281209782
KRW-ELF,0.5620494636430157,0.6859180407971975
KRW-KNC,0.44889686000863765,0.48241851994152174
KRW-BSV,0.5959466238126019,0.9772219614071644
KRW-THETA,1.0,0.9999999999999999
KRW-QKC,0.7411177995526003,0.9490010340102255
KRW-BTT,0.4084601729371633,0.9767723628597033
KRW-MOC,0.586208955261447,0.9135142275382088
KRW-TFUEL,0.8146780358482284,0.9859547910952456
KRW-MANA,0.6606649142283586,0.9352717109244766
KRW-ANKR,0.6873339217376572,0.9763351076825826
