ticker,cor_dod,cor_price
KRW-BTC,0.7477728263639691,0.8983347179747576
KRW-ETH,0.734420422125675,0.9306199472577175
KRW-NEO,0.7547307804467679,0.9604678402910425
KRW-MTL,0.5149719217619376,0.8998025504757781
KRW-XRP,0.496348802479462,0.802771537953076
KRW-ETC,0.669713031796435,0.808297324734071
KRW-SNT,0.8081849684548291,0.9823477825357602
KRW-WAVES,0.5611775081721094,0.8266428876596159
KRW-XEM,0.7897938840499927,0.9765920473144298
KRW-QTUM,0.8540336254175314,0.9659203901050077
KRW-LSK,0.8182897720002573,0.9713396785158046
KRW-STEEM,0.8421559039499737,0.9744524694987396
KRW-XLM,0.6912930213556303,0.9427529798629168
KRW-ARDR,0.844539778989625,0.9847930803803872
KRW-ARK,0.6723419854427148,0.9770156545813595
KRW-STORJ,0.7304645974434317,0.9395584768431477
KRW-GRS,0.6903519083037708,0.8984088387524211
KRW-ADA,0.7289123136396101,0.9724556320242961
KRW-SBD,0.5848276537822749,0.9611216444080461
KRW-POWR,0.43328739679314265,0.8545404327186006
KRW-BTG,0.7001283495592453,0.9571604296354677
KRW-ICX,0.8081648119730757,0.9528616956928179
KRW-EOS,0.7359995325255475,0.9714023840936696
KRW-TRX,0.6002505404799365,0.33651572777992667
KRW-SC,0.8675582312004525,0.9696416509025283
KRW-ONT,0.8671931792852978,0.9791222115570775
KRW-ZIL,0.7355766796263922,0.8764789828556463
KRW-POLYX,0.7389535750484293,0.9523701623375862
KRW-ZRX,1.0,1.0
KRW-LOOM,0.4499844177326291,0.7504848957051022
KRW-BCH,0.5819584380892904,0.8903065873469483
KRW-BAT,0.7673356235218567,0.9380297714343565
KRW-IOST,0.8360094436452146,0.9855595458372332
KRW-CVC,0.842252298660858,0.9826935587841922
KRW-IQ,0.536537576841961,0.953441338188271
KRW-IOTA,0.7822222621106477,0.946780863818792
KRW-HIFI,0.6138238033498442,0.8398108297488094
KRW-ONG,0.8313576175016494,0.9715313524143365
KRW-GAS,0.7575195548940068,0.9498300683641402
KRW-UPP,0.7954767457824942,0.9836858745763233
KRW-ELF,0.6264992946301293,0.6514832404706473
KRW-KNC,0.5968126444148363,0.6356239007125357
KRW-BSV,0.5724407427677858,0.9564099716222323
KRW-THETA,0.7579200481330539,0.9692252717751325
KRW-QKC,0.8030589499292761,0.9714720320652851
KRW-BTT,0.5437700102202564,0.9681089104590036
KRW-MOC,0.5995692610885265,0.9186645144134576
KRW-TFUEL,0.7406576792878052,0.964694548125469
KRW-MANA,0.6406469291529334,0.9221067747685912
KRW-ANKR,0.7884881144364109,0.9700406551424975
