ticker,cor_dod,cor_price
KRW-BTC,0.7656903633548279,0.9040323565814782
KRW-ETH,0.7148655285242679,0.9307819019049164
KRW-NEO,0.7476228662933613,0.9788101344631046
KRW-MTL,0.6697147925833334,0.8593840285824372
KRW-XRP,0.4832777978392122,0.8248481058219024
KRW-ETC,0.6112501437977323,0.7835358935148989
KRW-SNT,0.8513559661825777,0.9800235064999485
KRW-WAVES,0.5986450856332615,0.8116843751114746
KRW-XEM,0.8389318374176816,0.9918677535586814
KRW-QTUM,0.8368564042453611,0.9727215142370471
KRW-LSK,1.0,1.0
KRW-STEEM,0.8229073051742282,0.9495920496929016
KRW-XLM,0.6646951576800061,0.9450215010973426
KRW-ARDR,0.9158468234106932,0.9895367279753038
KRW-ARK,0.7020638643578649,0.9807482925196441
KRW-STORJ,0.6686791140834671,0.9475143579183354
KRW-GRS,0.7630695619146356,0.9120057840427249
KRW-ADA,0.7295204888303355,0.98344386620269
KRW-SBD,0.6821555793979087,0.9789254770503791
KRW-POWR,0.5642614477385964,0.8817441841710978
KRW-BTG,0.6564472242833831,0.9538954968810107
KRW-ICX,0.8053708416149467,0.96230190182722
KRW-EOS,0.6972286384860875,0.9770457642205451
KRW-TRX,0.5821592283668986,0.28001326169405766
KRW-SC,0.895773170930213,0.9808316433794283
KRW-ONT,0.8792743559943356,0.9921421393901625
KRW-ZIL,0.6475062751012974,0.7905571956557882
KRW-POLYX,0.8367776135100154,0.9677213267419901
KRW-ZRX,0.8182897720002574,0.9713396785158046
KRW-LOOM,0.5352605839682237,0.7688847480998372
KRW-BCH,0.5679406932502247,0.8966383249856154
KRW-BAT,0.6934419222836417,0.949976311027519
KRW-IOST,0.8299057041287783,0.9751725524286088
KRW-CVC,0.886567248383176,0.9820724362720676
KRW-IQ,0.5643519183361068,0.9527391808913301
KRW-IOTA,0.8145361738498017,0.9748389747987565
KRW-HIFI,0.6472151117887932,0.8332743356185861
KRW-ONG,0.8598442523365326,0.984343139774237
KRW-GAS,0.7964155442627087,0.9787915319728605
KRW-UPP,0.8749310526266606,0.9828635725345927
KRW-ELF,0.6534209931941157,0.6878976295177819
KRW-KNC,0.5246108372836704,0.5417462034097402
KRW-BSV,0.5505785738337874,0.9663978800703341
KRW-THETA,0.781834981781998,0.9870200221367674
KRW-QKC,0.8668681840366872,0.9554275693158107
KRW-BTT,0.4583348092485415,0.9800917640842449
KRW-MOC,0.6945787979528515,0.9323123604806121
KRW-TFUEL,0.7683830975504313,0.9887743553203229
KRW-MANA,0.6672247130020451,0.9560867631620523
KRW-ANKR,0.7244746562310449,0.9830644615934246
