ticker,cor_dod,cor_price
KRW-BTC,0.7570634310229073,0.9158137053947774
KRW-ETH,0.7224671688052658,0.950958010676219
KRW-NEO,0.7259858053760369,0.9659424260940395
KRW-MTL,0.5781405394536242,0.8748369625573924
KRW-XRP,0.4577101217585266,0.8279089113615637
KRW-ETC,0.6424734468464333,0.76109474759771
KRW-SNT,0.8531554053439493,0.9720708817632462
KRW-WAVES,0.5808573221820635,0.7848406101001139
KRW-XEM,0.8146328896082713,0.9721938984793211
KRW-QTUM,0.8445224767422056,0.9745942800015083
KRW-LSK,0.895773170930213,0.9808316433794284
KRW-STEEM,0.8477794671646349,0.9589553911359742
KRW-XLM,0.6637523746666361,0.9549169965314884
KRW-ARDR,0.8820074609865747,0.9742257741547138
KRW-ARK,0.6914532869526355,0.9785386307796825
KRW-STORJ,0.7500308632282142,0.968336669183177
KRW-GRS,0.7701745896851214,0.9268028240487056
KRW-ADA,0.7106299147322114,0.971256048870594
KRW-SBD,0.6244405259413586,0.9642571992158121
KRW-POWR,0.5837099631044945,0.8539467430738517
KRW-BTG,0.6769843598772042,0.9387121737128448
KRW-ICX,0.7833617487986654,0.9650841204879458
KRW-EOS,0.7157124404748103,0.9640919850134816
KRW-TRX,0.553432320534178,0.35183338247683854
KRW-SC,1.0,1.0
KRW-ONT,0.8559450505455461,0.9840485699429163
KRW-ZIL,0.7171919137314429,0.7780891745298196
KRW-POLYX,0.7963253550322035,0.960456212825771
KRW-ZRX,0.8675582312004525,0.9696416509025283
KRW-LOOM,0.5401831871558079,0.7691294654941143
KRW-BCH,0.589260711828777,0.9173455042610429
KRW-BAT,0.7971127708952122,0.9633186436661602
KRW-IOST,0.8250891446361414,0.9554967539787836
KRW-CVC,0.8850984510439627,0.9756369919002261
KRW-IQ,0.6100741141406895,0.9576021568920255
KRW-IOTA,0.8250720487546579,0.9717245000004525
KRW-HIFI,0.620607639632731,0.8430258336246687
KRW-ONG,0.840550104616016,0.9546861539283462
KRW-GAS,0.7883104102992847,0.9694639472414496
KRW-UPP,0.8764263501867946,0.9809296971713707
KRW-ELF,0.6779075701769343,0.7236130461220203
KRW-KNC,0.5144131400116678,0.4908862926061251
KRW-BSV,0.5662312539448718,0.9585241288262208
KRW-THETA,0.7835556731548494,0.9831894630850406
KRW-QKC,0.8640793346660454,0.9547803005670867
KRW-BTT,0.48123751498999895,0.9638516316687954
KRW-MOC,0.7521489395326745,0.9584174270545502
KRW-TFUEL,0.7383185558999338,0.9697504484764429
KRW-MANA,0.6978846679198081,0.955382015523833
KRW-ANKR,0.8035676263585989,0.9896900655683777
