ticker,cor_dod,cor_price
KRW-BTC,0.7361968490662615,0.9331270397689393
KRW-ETH,0.6033009909566598,0.9442578503144216
KRW-NEO,0.8190427764203466,0.9889086463771927
KRW-MTL,0.5746770164581549,0.8818338452133568
KRW-XRP,0.4061805514141411,0.8478379336900846
KRW-ETC,0.5706937435165568,0.7463659289570113
KRW-SNT,0.7103110073639569,0.954934963952038
KRW-WAVES,0.5131395045293798,0.7771350402257376
KRW-XEM,0.7060138826199729,0.9662459478567713
KRW-QTUM,0.7877524718505508,0.9700034040037002
KRW-LSK,0.7964155442627088,0.9787915319728605
KRW-STEEM,0.7257134212782245,0.927663868108434
KRW-XLM,0.5743252226507747,0.9252104810063464
KRW-ARDR,0.7973870791892756,0.9596845620985329
KRW-ARK,0.6819295775309522,0.958045265586493
KRW-STORJ,0.6043553312853005,0.9106140422984688
KRW-GRS,0.7246542152221709,0.9298221256887553
KRW-ADA,0.6057976596816904,0.9575509258676758
KRW-SBD,0.6058959553925097,0.9655926927717073
KRW-POWR,0.442910877892987,0.8234736673647156
KRW-BTG,0.6861404803059156,0.9236774800492601
KRW-ICX,0.7165660977449464,0.9599167188189415
KRW-EOS,0.6607411740023182,0.9531633805756149
KRW-TRX,0.5500651757532091,0.35240629731161455
KRW-SC,0.7883104102992847,0.9694639472414496
KRW-ONT,0.8032355090958672,0.9810850587152248
KRW-ZIL,0.5694910378531826,0.7635571760803548
KRW-POLYX,0.6891382168833187,0.9265989746209727
KRW-ZRX,0.7575195548940068,0.9498300683641403
KRW-LOOM,0.4346574960658385,0.7862716168194158
KRW-BCH,0.5355729670648951,0.9012999828227837
KRW-BAT,0.6322660449653045,0.9098890646302579
KRW-IOST,0.7487662546578149,0.9463684861194921
KRW-CVC,0.7633119470279902,0.9441847394464853
KRW-IQ,0.48844088676053327,0.9580933437333373
KRW-IOTA,0.7254776198500019,0.9393557627162495
KRW-HIFI,0.5891364123690569,0.8080489614147904
KRW-ONG,0.8122229901576415,0.948036606098577
KRW-GAS,1.0,1.0
KRW-UPP,0.7410473631756209,0.9725329005847283
KRW-ELF,0.6031139739330599,0.7784751974057151
KRW-KNC,0.46110184821029393,0.4725686578019755
KRW-BSV,0.5395087197325018,0.927707571376763
KRW-THETA,0.7088708248404785,0.9721920715508954
KRW-QKC,0.7289352584331775,0.9417526848884482
KRW-BTT,0.4167175991639488,0.9434434703172792
KRW-MOC,0.6422708111520377,0.916546228958757
KRW-TFUEL,0.6588028679489035,0.9725702818574506
KRW-MANA,0.5504313118560693,0.9115416824016289
KRW-ANKR,0.7107131363154308,0.9673982094820306
