ticker,cor_dod,cor_price
KRW-BTC,0.022931699446380557,0.3021712257554638
KRW-ETH,0.020703406192448606,0.23149741672790816
KRW-NEO,-0.0027743670992917083,0.14468605666477566
KRW-MTL,0.07779967742183973,0.43404237383037697
KRW-XRP,-0.041416579366137095,0.09744418493204467
KRW-ETC,0.002467947632792762,-0.19034544117284974
KRW-SNT,0.015309728568159483,0.09480611642255381
KRW-WAVES,0.03140332895244094,-0.12527044712781704
KRW-XEM,0.04618642529214197,-0.0697325188294247
KRW-QTUM,0.00959474187782553,0.10275295829211432
KRW-LSK,0.03477201239212624,0.08098520422565039
KRW-STEEM,0.0551044452335294,0.04697373608507653
KRW-XLM,0.0013105756036016637,0.2536516187183648
KRW-ARDR,0.04753341755017204,0.0026466136879621104
KRW-ARK,0.10261682979165196,0.4895670079692753
KRW-STORJ,0.0711929126079154,0.21552177952862953
KRW-GRS,0.019963871424405366,0.9033757302760035
KRW-ADA,0.017271175541190755,-0.10950825954776523
KRW-SBD,0.015704442130482762,0.17960484348749262
KRW-POWR,0.04029316870066284,0.12260014725593277
KRW-BTG,0.0033840684305872083,-0.044142025156460526
KRW-ICX,0.027590052675179107,0.043881667410352446
KRW-EOS,-0.0029618691488900923,-0.1829340929066011
KRW-TRX,-0.003987522325183001,0.4478585088076318
KRW-SC,0.08563672274972592,0.2247947038360948
KRW-ONT,0.009776855767903948,0.04177573858919249
KRW-ZIL,0.016877475151879588,-0.07670053604989668
KRW-POLYX,0.01376460470424885,-0.1762717630708827
KRW-ZRX,0.029830398492980716,0.06006363803400881
KRW-LOOM,-0.00157072382748632,0.3440997389529421
KRW-BCH,0.03187428102215139,0.28651539043219115
KRW-BAT,0.001892365508577831,-0.0598450359248299
KRW-IOST,0.030948868530361797,-0.06261308347766317
KRW-CVC,0.027792900811814698,-0.10164569701769492
KRW-IQ,0.0757436451568658,0.15557586413235222
KRW-IOTA,-0.031202375666298767,-0.14457809649855133
KRW-HIFI,0.18692308161888543,0.6435156832104145
KRW-ONG,0.021797800034941035,-0.004256318543561486
KRW-GAS,-0.007439157752105576,0.250114822202429
KRW-UPP,0.06983517307189237,0.3565524020255023
KRW-ELF,-0.012762195047265905,0.5539430727322716
KRW-KNC,0.015644379011208978,0.022283225588141668
KRW-BSV,0.01735125270376956,-0.3168911199137481
KRW-THETA,0.026629269605682744,-0.10684690826445437
KRW-QKC,0.008513536354903735,-0.0131520243773707
KRW-BTT,0.07094195812589744,-0.3257819698951385
KRW-MOC,0.028054142889355774,0.23944449810969304
KRW-TFUEL,0.01840985967159479,-0.025678933430518493
KRW-MANA,0.010182664213816086,-0.090666343964027
KRW-ANKR,0.03274432716887901,0.07841561290888063
