ticker,cor_dod,cor_price
KRW-BTC,0.038858736730757015,-0.2672916266978457
KRW-ETH,-0.007590685174722627,-0.17057012063294696
KRW-NEO,0.019140336468047546,0.26585927331679754
KRW-MTL,-0.0014426262357988453,-0.050217380531592505
KRW-XRP,-0.06132625333032329,-0.06348825414823758
KRW-ETC,-0.0863382213818975,0.9168496212479742
KRW-SNT,-0.016303072685073725,0.7846488649298331
KRW-WAVES,-0.03706444081563126,0.9838838759446447
KRW-XEM,0.020248607579011063,0.778399270698736
KRW-QTUM,0.011156190909295689,0.5892700075430103
KRW-LSK,-0.02179112417538158,0.6755223741427702
KRW-STEEM,0.08028156600528946,0.8089198903988061
KRW-XLM,-0.006613230357811358,0.15335971818677346
KRW-ARDR,0.08078509760774244,0.8165334086730575
KRW-ARK,0.0457877385451434,0.4060763747459014
KRW-STORJ,0.025676892798957296,0.7766134515494151
KRW-GRS,-0.007621474011446249,-0.12577704423206784
KRW-ADA,-0.0180626717101669,0.7313450140813478
KRW-SBD,0.03155948453601845,0.5311741688976448
KRW-POWR,0.04886301696435697,0.8040290042563373
KRW-BTG,-0.07291535210957142,0.9076708571145923
KRW-ICX,0.011487373831695626,0.34662530967648014
KRW-EOS,-0.006864545127227431,0.704134267458715
KRW-TRX,-0.03555441296934573,-0.2344084418073502
KRW-SC,0.015955383441480214,0.44009194895689824
KRW-ONT,0.031016469362995482,0.5946020716391209
KRW-ZIL,-0.01795325427767123,0.8119590568203803
KRW-POLYX,0.030061838097722362,0.8988468587204317
KRW-ZRX,-0.014259337048985505,0.6814115833555597
KRW-LOOM,0.025321586972059613,0.06052237568291332
KRW-BCH,-0.08860308759829667,-0.2519748493466302
KRW-BAT,-0.006580384000316637,0.8919500132599231
KRW-IOST,0.023103283707791276,0.8275291412477196
KRW-CVC,0.044201263034375896,0.9054158003275873
KRW-IQ,0.0791381915446816,0.3021075470380217
KRW-IOTA,0.004049496930672062,0.9269529467617768
KRW-HIFI,0.048384462059045646,0.11534317753077081
KRW-ONG,0.1253173709370147,0.8854695227190762
KRW-GAS,0.004340367586961074,0.22033245907997193
KRW-UPP,0.02618515576328032,0.41563537709417003
KRW-ELF,-0.01079382143310566,-0.46763134912181764
KRW-KNC,-0.029333367400621233,0.8908901496217877
KRW-BSV,-0.10941795957105285,0.7450883286573425
KRW-THETA,0.034869352513741646,0.8119125479001549
KRW-QKC,-0.005834692046292671,0.7737381970848699
KRW-BTT,0.028907037013946674,0.7852965692952519
KRW-MOC,0.07684420896509468,0.3908395272720067
KRW-TFUEL,0.02348582562023371,0.7967377254034529
KRW-MANA,0.0803843825865479,0.7945691450984517
KRW-ANKR,-0.016024559227327935,0.6107510700855976
