ticker,cor_dod,cor_price
KRW-BTC,-0.0017989199611141591,-0.26785886406307524
KRW-ETH,-0.05663893365655341,-0.33101225505387
KRW-NEO,-0.05602042453935477,-0.21613225201699476
KRW-MTL,-0.06973698265265797,-0.09485525812755957
KRW-XRP,-0.04789015015127976,-0.19310790723132834
KRW-ETC,-0.02916379329428225,0.027846288214647706
KRW-SNT,-0.043939942398333265,0.02276657825259864
KRW-WAVES,-0.0016438652949893665,0.10920265763872838
KRW-XEM,-0.01727666637221496,0.01267933478527505
KRW-QTUM,-0.0388037334824885,-0.13572955474838683
KRW-LSK,-0.058007175225483425,-0.02661414775561869
KRW-STEEM,-0.02031776251371101,0.020031988188867377
KRW-XLM,-0.0368893255271897,0.02840216328537833
KRW-ARDR,0.018237759860694647,0.05114869801832706
KRW-ARK,0.2118356813743683,0.6025741630137454
KRW-STORJ,0.05726098442100349,0.3371038844680642
KRW-GRS,-0.20412083080667434,0.46272746904962253
KRW-ADA,-0.056798254167308965,-0.10066491735924911
KRW-SBD,-0.04524809292106501,-0.00013241278824506969
KRW-POWR,-0.02293989595339939,0.06417681981395636
KRW-BTG,-0.028882794304726532,0.11059561590386895
KRW-ICX,-0.0031389182297934114,-0.21433685013799672
KRW-EOS,-0.02382622161892839,-0.02217546073276362
KRW-TRX,-0.014581093345096345,0.016937330416858968
KRW-SC,0.01521770474545725,-0.11433704033424334
KRW-ONT,0.01674929715128027,-0.11484040003422405
KRW-ZIL,0.004387230028726644,-0.02492473795085119
KRW-POLYX,-0.03865305959685666,0.1552723506922296
KRW-ZRX,-0.021876475093260527,-0.0604803364074612
KRW-LOOM,-0.04988521480542005,0.2759746139883879
KRW-BCH,0.015783153550154326,-0.006976766732267376
KRW-BAT,-0.038445923819523026,0.052852760046015024
KRW-IOST,-0.0504159853433641,-0.06698397270454617
KRW-CVC,-0.01642119147366697,0.0935734884866883
KRW-IQ,0.018950935072900504,0.06497970020889805
KRW-IOTA,-0.10323310879810117,0.06913141117255507
KRW-HIFI,0.11916039830410577,0.8495057606681049
KRW-ONG,-0.0030325066727968477,0.10557066733407366
KRW-GAS,0.017565437406866283,-0.14058163602158813
KRW-UPP,0.003627502347471044,0.04766065042205878
KRW-ELF,0.0926615990499906,-0.027678724317001666
KRW-KNC,0.04100149903217018,0.17291028881826162
KRW-BSV,0.013162515479393285,0.17191216130242798
KRW-THETA,-0.020780634894942574,-0.006848210738611809
KRW-QKC,-0.028544113958638002,-0.04160192213362251
KRW-BTT,0.09277986795976859,0.039882510609243534
KRW-MOC,0.04080934718983476,-0.07458167574869265
KRW-TFUEL,-0.0028057613147768564,0.006849826382675741
KRW-MANA,-0.00523057115196196,-0.033664100466570035
KRW-ANKR,0.044060559406757106,-0.11684506080478618
