ticker,cor_dod,cor_price
KRW-LSK,1.0,1.0
KRW-ARDR,0.9158468234106932,0.9895367279753038
KRW-SC,0.895773170930213,0.9808316433794284
KRW-CVC,0.886567248383176,0.9820724362720676
KRW-ONT,0.8792743559943356,0.9921421393901624
KRW-UPP,0.8749310526266606,0.9828635725345928
KRW-QKC,0.8668681840366872,0.9554275693158109
KRW-ONG,0.8598442523365326,0.984343139774237
KRW-SNT,0.8513559661825777,0.9800235064999484
KRW-XEM,0.8389318374176816,0.9918677535586814
KRW-QTUM,0.8368564042453611,0.9727215142370472
KRW-POLYX,0.8367776135100154,0.96772132674199
KRW-IOST,0.8299057041287783,0.9751725524286088
KRW-STEEM,0.8229073051742282,0.9495920496929016
KRW-ZRX,0.8182897720002574,0.9713396785158046
KRW-IOTA,0.8145361738498017,0.9748389747987564
KRW-ICX,0.8053708416149467,0.96230190182722
